title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Có tay cầm gỗ Nạo bằng thép không gỉ đa chức năng pnxk để làm sạch nhà bếp và cải tạo nhà,13368174867,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i13368174867.html,0,0.0,0,0,No Brand,2026-05-08 09:14:47
"Kim Bơm Bóng Đá, Kim Bơm Bóng Chuyền, Kim Bơm Bóng Rổ... tiêu chuẩn đầu thép hợp kim",2018255763,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i2018255763.html,2000,0.0,0,0,No Brand,2026-05-08 09:14:47
MOIKA Móng tay nghệ thuật container hộp nhựa cầm tay organizar hộp lưu trữ hộp làm móng tay phụ kiện DIY hiển thị chủ công cụ trong suốt Quà Tặng,13388411464,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i13388411464.html,2726,0.0,0,0,MOIKA,2026-05-08 09:14:47
Móc Treo Đa Năng Xoay 360 Độ Tiện Dụng Gắn Xe Đạp/Xe Tải - Phụ Kiện Xe Đạp Chống Rơi,2922253226,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i2922253226.html,2900,4.928571428571429,14,0,No Brand,2026-05-08 09:14:47
Lược Mini Dùng 1 Lần Tiện Lợi,2041969466,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i2041969466.html,2940,5.0,3,0,No Brand,2026-05-08 09:14:47
Lược nhựa mini bỏ túi tiện dụng dài 12cm-14cm,1952418957,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i1952418957.html,4000,5.0,4,0,No Brand,2026-05-08 09:14:47
Lược nhựa mini bỏ túi tiện dụng (1 cái) dài 12 cm,1952224612,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i1952224612.html,5000,5.0,1,0,No Brand,2026-05-08 09:14:47
MOIKA Ngón tay massage dual-hàng Con lăn Brass con lăn thiết kế dễ dàng sử dụng làm giảm ngón tay mệt mỏi Thúc đẩy máu ngón tay di động massage công cụ,13385441258,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i13385441258.html,5916,0.0,0,0,MOIKA,2026-05-08 09:14:47
CỌ (CHỔI) QUÉT MẶT NẠ - TAY CẦM NHỰA TRONG SUỐT - CÓ THỂ SỬ DỤNG NHIỀU LẦN TIỆN LỢI,2140565271,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i2140565271.html,6000,5.0,1,0,No Brand,2026-05-08 09:14:47
"Bàn chải lấy xi đánh giày kẽ nhỏ 18cm sợi dài 1,4cm làm từ lông heo tay cầm cán nhựa xanh có móc treo",2493553839,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i2493553839.html,6800,0.0,0,0,No Brand,2026-05-08 09:14:47
"Dũa Mỏng OPI Lốc 50 Cái Form Thẳng Độ Nhám 100/180 Thân Cứng, Không Xẹp, Cầm Chắc Tay Làm Nail Tiện Lợi, Dễ Chỉnh Hướng",3148201681,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i3148201681.html,8700,0.0,0,0,No Brand,2026-05-08 09:14:47
"Dũa Mỏng OPI Lốc 50 Cái Độ Nhám 100/180 Thân Cứng, Không Xẹp, Cầm Chắc Tay Làm Nail Tiện Lợi, Form Thẳng Không Chạm Khóe Móng, Dễ Chỉnh Hướng, Tốc Độ Dũa Theo Yêu Cầu",3083492013,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i3083492013.html,8700,0.0,0,0,No Brand,2026-05-08 09:14:47
"Dũa Mỏng OPI Lốc 50 Cái Form Thẳng Độ Nhám 100/180 Thân Cứng, Không Xẹp, Cầm Chắc Tay Làm Nail Tiện Lợi, Dễ Chỉnh Hướng, Tốc Độ Dũa Theo Yêu Cầu",3083362855,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Cầm Tay,Phụ Kiện Dụng Cụ Cầm Tay,https://www.lazada.vn/products/pdp-i3083362855.html,8700,5.0,1,0,No Brand,2026-05-08 09:14:47
