title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Miếng dán huyệt đầu gối Li Shizhen. Giảm viêm bao hoạt dịch, chấn thương sụn chêm, viêm khớp, giảm sưng, tràn dịch, đau.",2901742284,lazada,Sức Khỏe & Làm Đẹp,Thiết Bị Y Tế,Chăm Sóc Chấn Thương,https://www.lazada.vn/products/pdp-i2901742284.html,37240,4.6,18,69,Li Shizhen,2026-05-05 20:45:34
"Dầu Massage Nghệ Shujin Giảm Đau Toàn Thân, Giảm Chấn Thương Ở Mắt Cá Chân Do Vận Động Mạnh, Căng Cơ Bong Gân Đau Mỏi Vai Gáy Một Cách Hiệu Quả Và Nhanh Chóng",2138420636,lazada,Sức Khỏe & Làm Đẹp,Thiết Bị Y Tế,Chăm Sóc Chấn Thương,https://www.lazada.vn/products/pdp-i2138420636.html,50900,4.9,77,213,No Brand,2026-05-05 20:45:34
"[Combo 10 gói] Cao dán hồng sâm Himena hàn quốc chính hãng, gói 20 miếng - Chăm sóc chấn thương, giảm đau, koreaboss",1274852611,lazada,Sức Khỏe & Làm Đẹp,Thiết Bị Y Tế,Chăm Sóc Chấn Thương,https://www.lazada.vn/products/pdp-i1274852611.html,275000,5.0,6,47,Himena,2026-05-05 20:45:34
"Combo 5 gói cao dán hồng sâm hàn quốc Xanh Glu, 100 miếng - Cao dán sâm giảm đau, chăm sóc chấn thương Kozado",2079048343,lazada,Sức Khỏe & Làm Đẹp,Thiết Bị Y Tế,Chăm Sóc Chấn Thương,https://www.lazada.vn/products/pdp-i2079048343.html,145000,0.0,0,7,Korea Ginseng,2026-05-05 20:45:34
"Túi chườm nóng lạnh có đai cố định mắt cá chân, túi đá 15 cm giảm chấn thương thể thao Dr.Ken  #DaiTuichuom-07",3095182285,lazada,Sức Khỏe & Làm Đẹp,Thiết Bị Y Tế,Chăm Sóc Chấn Thương,https://www.lazada.vn/products/pdp-i3095182285.html,450000,0.0,0,0,No Brand,2026-05-05 20:45:34
"Chai Xịt Lạnh Giảm Đau, Thảo Dược LIGPRO Giảm Đau Chấn Thương Thể Thao, Giảm Giãn Cơ 200ml",2844870717,lazada,Sức Khỏe & Làm Đẹp,Thiết Bị Y Tế,Chăm Sóc Chấn Thương,https://www.lazada.vn/products/pdp-i2844870717.html,111000,5.0,29,151,No Brand,2026-05-05 20:45:34
"Gel làm lạnh Starbalm Cold Gel 25 ml : làm lạnh cơ xử lý chấn thương, căng cơ, bầm tím bong gân khớp, giảm viêm sưng, giảm đau hiệu quả, nhanh phục hồi khi chấn thương",2913596565,lazada,Sức Khỏe & Làm Đẹp,Thiết Bị Y Tế,Chăm Sóc Chấn Thương,https://www.lazada.vn/products/pdp-i2913596565.html,55000,0.0,0,6,STARBALM,2026-05-05 20:45:34
"Đai hỗ trợ cổ chân ống tay bó cho đau phục hồi chấn thương và khớp. Viêm cân gan chân vớ chân với đệm gan bàn chân, giảm sưng, kích thích gót chân, viêm gân",2364395975,lazada,Sức Khỏe & Làm Đẹp,Thiết Bị Y Tế,Chăm Sóc Chấn Thương,https://www.lazada.vn/products/pdp-i2364395975.html,43000,4.0,10,19,No Brand,2026-05-05 20:45:34
"[Combo 5 gói] Cao dán hồng sâm hàn quốc Power đỏ - Cao dán sâm chăm sóc chấn thương, giảm đau nhức, tranglinhkorea",511830513,lazada,Sức Khỏe & Làm Đẹp,Thiết Bị Y Tế,Chăm Sóc Chấn Thương,https://www.lazada.vn/products/pdp-i511830513.html,145000,4.9,294,1500,Korea Ginseng,2026-05-05 20:45:34
NAILEKESI | Dụng Cụ Bảo Vệ Cổ Tay Chống Chấn Thương Thể Thao,3277566827,lazada,Sức Khỏe & Làm Đẹp,Thiết Bị Y Tế,Chăm Sóc Chấn Thương,https://www.lazada.vn/products/pdp-i3277566827.html,146000,4.5,4,0,NAILEKESI,2026-05-05 20:45:34
Elbbkg Đôi đầu Băng Con lăn cho khuôn mặt mắt bọng đau nửa đầu giảm đau và nhỏ chấn thương mặt lạnh trị liệu massage con lăn chăm sóc da,3083112944,lazada,Sức Khỏe & Làm Đẹp,Thiết Bị Y Tế,Chăm Sóc Chấn Thương,https://www.lazada.vn/products/pdp-i3083112944.html,32657,5.0,4,9,Elbbkg,2026-05-05 20:45:34
