title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Máy tính nhúng Orange Pi Zero 3 RAM 1/2/4GB,2635519540,lazada,Phụ kiện điện tử,Linh kiện máy tính,Máy tính một Board,https://www.lazada.vn/products/pdp-i2635519540.html,1050000,0.0,0,0,No Brand,2026-05-03 15:23:40
Mái tính casio fx570ms - fx 570ms - Hàng Tốt Đảm Bảo Chất Lượng,1244550582,lazada,Phụ kiện điện tử,Linh kiện máy tính,Máy tính một Board,https://www.lazada.vn/products/pdp-i1244550582.html,109000,4.4,11,74,No Brand,2026-05-03 15:23:40
"Bàn Phím Văn Phòng Mini Kết Nối Bluetooth Không Dây,Máy Tính Bảng Size 10 Inch Kèm Dây Sạc",3284749600,lazada,Phụ kiện điện tử,Linh kiện máy tính,Máy tính một Board,https://www.lazada.vn/products/pdp-i3284749600.html,48000,5.0,5,11,No Brand,2026-05-03 15:23:40
"2 Chân Đế Laptop Mini Có Thể Gập Lại, Bàn Phím Máy Tính Di Động Nâng Với 2 Góc Có Thể Điều Chỉnh, Chân Đế Notebook Vô Hì",3143208819,lazada,Phụ kiện điện tử,Linh kiện máy tính,Máy tính một Board,https://www.lazada.vn/products/pdp-i3143208819.html,19900,4.9,155,794,No Brand,2026-05-03 15:23:40
Bàn Phím Bluetooth Mini Không Dây Kèm Chuột Bàn Phím Kết Nối Điện Thoại Cho Điện Thoại Ipad Máy Tính Laptop,2408899755,lazada,Phụ kiện điện tử,Linh kiện máy tính,Máy tính một Board,https://www.lazada.vn/products/pdp-i2408899755.html,79000,4.8,929,2500,No Brand,2026-05-03 15:23:40
"Máy Tính Hai Trong Một Mới [Pin nút], Bảng Chữ Viết Học Sinh Tiểu Học Máy Tính Lật, Máy Tính Di Động Đa Năng",2506414018,lazada,Phụ kiện điện tử,Linh kiện máy tính,Máy tính một Board,https://www.lazada.vn/products/pdp-i2506414018.html,170000,0.0,0,0,No Brand,2026-05-03 15:23:40
"{ New 2025)  Máy Tính Casio Fx-580VNX Chính Hãng - Full Chức Năng, Dành Cho Học Sinh, Sinh Viên Dùng Cho Các Kì Thi Đại Học, Tốt Nghiệp, Tính Toán Chính Xác. Hàng Casio thá¡ Lan, Máy Tính Bỏ Túi Mini , Bảo Hành Toàn Quốc.",3177893719,lazada,Phụ kiện điện tử,Linh kiện máy tính,Máy tính một Board,https://www.lazada.vn/products/pdp-i3177893719.html,405000,0.0,0,0,No Brand,2026-05-03 15:23:40
Máy tính cầm tay 12 số cỡ lớn nhiều màu sắc,2468831408,lazada,Phụ kiện điện tử,Linh kiện máy tính,Máy tính một Board,https://www.lazada.vn/products/pdp-i2468831408.html,75000,5.0,10,52,No Brand,2026-05-03 15:23:40
LazMall SALE Chính Hãng  Máy Tính FX-580VNX (521 Phép Tính) Thái Lan Máy Tính Giá Rẻ Dành Cho Học Sinh Cực Tốt Chuyển Đổi Tiếng Việt Phù Hợp Học Sinh Lớp 6 Đến Đại Học,3013640645,lazada,Phụ kiện điện tử,Linh kiện máy tính,Máy tính một Board,https://www.lazada.vn/products/pdp-i3013640645.html,447199,5.0,16,25,No Brand,2026-05-03 15:23:40
Máy Tính nhỏ nhất VINACAL LC-403TV Mini bỏ túi Bảo hành 1 năm,3046072996,lazada,Phụ kiện điện tử,Linh kiện máy tính,Máy tính một Board,https://www.lazada.vn/products/pdp-i3046072996.html,99000,5.0,2,10,No Brand,2026-05-03 15:23:40
Máy tính bảng P70 Cuộc gọi mạnh mẽ 3G/4G/5G Dual SIM Máy tính bảng Công suất lớn 16GB+1024B 12.0 inch 15000mAh Dung lượng cực lớn Học trò chơi Văn phòng và nhiều hơn nữa Máy tính bảng giá rẻ cho sinh viên,2916291628,lazada,Phụ kiện điện tử,Linh kiện máy tính,Máy tính một Board,https://www.lazada.vn/products/pdp-i2916291628.html,1650000,4.7,83,165,No Brand,2026-05-03 15:23:40
"Máy tính bảng Galaxy Tab A11 Wifi (4-64GB), Màn hình nhỏ gọn 8.7"", Tần số quét 90Hz, Tính năng giải toán tự động",3202180720,lazada,Phụ kiện điện tử,Linh kiện máy tính,Máy tính một Board,https://www.lazada.vn/products/pdp-i3202180720.html,3990000,5.0,5,31,Samsung,2026-05-03 15:23:40
