title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Máy Mát Xa Chân Mini Con Lăn Yoga Ball Plantar Fascia Thư Giãn Cơ Bắp Hướng Dẫn Sử Dụng Dụng Cụ Massage Bằng Nhựa Để Chăm Sóc Bàn Chân,13358677294,lazada,Sức Khỏe & Làm Đẹp,Dụng Cụ Làm Đẹp,Dụng Cụ Mát Xa Chân,https://www.lazada.vn/products/pdp-i13358677294.html,86100,0.0,0,132,No Brand,2026-05-05 22:29:50
Dụng cụ lăn chân bóng con lăn mát xa chân fascia bóng massage con lăn mát xa điểm áp lực dụng cụ chăm sóc chân,3184095767,lazada,Sức Khỏe & Làm Đẹp,Dụng Cụ Làm Đẹp,Dụng Cụ Mát Xa Chân,https://www.lazada.vn/products/pdp-i3184095767.html,92187,0.0,0,0,No Brand,2026-05-05 22:29:50
"Dụng cụ massage chân 5 thanh lăn gỗ, 6 thanh lăn gỗ, 8 thanh lăn gỗ và 10 con lăn bằng nhựa",2924404076,lazada,Sức Khỏe & Làm Đẹp,Dụng Cụ Làm Đẹp,Dụng Cụ Mát Xa Chân,https://www.lazada.vn/products/pdp-i2924404076.html,41800,0.0,0,94,No Brand,2026-05-05 22:29:50
Máy Massage Vùng Chân Z7 Massage 2 chế độ và chườm nóng hiệu quả massage đa vùng,2970007147,lazada,Sức Khỏe & Làm Đẹp,Dụng Cụ Làm Đẹp,Dụng Cụ Mát Xa Chân,https://www.lazada.vn/products/pdp-i2970007147.html,485000,0.0,0,0,No Brand,2026-05-05 22:29:50
SEKINEW Xoay 360 độ Máy mát xa kẹp chân hình khuyên Cầm tay 26 bánh xe Máy mát xa Cellulite Máy mát xa chân Dụng cụ trơn Con lăn mát xa cơ bằng tay Máy mát xa cơ thể thư giãn,3203703188,lazada,Sức Khỏe & Làm Đẹp,Dụng Cụ Làm Đẹp,Dụng Cụ Mát Xa Chân,https://www.lazada.vn/products/pdp-i3203703188.html,135137,0.0,0,5,No Brand,2026-05-05 22:29:50
Cây Massage Khớp Ngón Tay 2 Con Lăn Đàn Hồi Giúp Thư Giãn Và Lưu Thông Máu,2189135713,lazada,Sức Khỏe & Làm Đẹp,Dụng Cụ Làm Đẹp,Dụng Cụ Mát Xa Chân,https://www.lazada.vn/products/pdp-i2189135713.html,7350,0.0,0,151,No Brand,2026-05-05 22:29:50
SHZTGM Bằng gỗ chân Massager Con lăn bấm huyệt cho căng thẳng thể dục chăm sóc sức khỏe chân massage con lăn giảm đau,3272566223,lazada,Sức Khỏe & Làm Đẹp,Dụng Cụ Làm Đẹp,Dụng Cụ Mát Xa Chân,https://www.lazada.vn/products/pdp-i3272566223.html,44790,0.0,0,0,SHZTGM,2026-05-05 22:29:50
"Dép massage AQUATEX bấm huyệt lòng bàn chân nút xoay thái cực ,lưu thông khí huyết ,cải thiện tuần hoàn máu,hỗ trợ xương khớp tim mạch ,giảm stres giải độc cơ thể, cải thiện giấc ngủ",3119595058,lazada,Sức Khỏe & Làm Đẹp,Dụng Cụ Làm Đẹp,Dụng Cụ Mát Xa Chân,https://www.lazada.vn/products/pdp-i3119595058.html,150000,4.7,11,45,No Brand,2026-05-05 22:29:50
DUZUIHOU | Thảm Massage Bấm Huyệt Chân,3219304529,lazada,Sức Khỏe & Làm Đẹp,Dụng Cụ Làm Đẹp,Dụng Cụ Mát Xa Chân,https://www.lazada.vn/products/pdp-i3219304529.html,225000,4.9,48,0,DUZUIHOU,2026-05-05 22:29:50
"Bàn Lăn Chân, Dụng Cụ Massage Chân Bằng Nhựa, Ghế Lăn Nhựa 5 Hàng Nhỏ Gọn, Tiện Lợi",2483345912,lazada,Sức Khỏe & Làm Đẹp,Dụng Cụ Làm Đẹp,Dụng Cụ Mát Xa Chân,https://www.lazada.vn/products/pdp-i2483345912.html,70000,3.6,8,42,No Brand,2026-05-05 22:29:50
