title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
10/20 Chiếc Thảo Dược Điều Trị Gai Gót Chân Miếng Dán Giảm Đau Cho Viêm Gân Achilles Dụng Cụ Chăm Sóc Bàn Chân Xương Spurs Thạch Cao,2775212091,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i2775212091.html,52500,0.0,0,5,No Brand,2026-05-05 14:56:08
Kem giảm hôi chân athlete's Thảo Dược Chống Nấm Giảm Beriberi 15g,2930544051,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i2930544051.html,99000,5.0,23,99,No Brand,2026-05-05 14:56:08
"Máy Mài Chân Điện, Loại Bỏ Da Chết, Dụng Cụ Chăm Sóc Chân An Toàn, Dụng Cụ Tẩy Chai Sạn Cho Bàn Chân Khô, Nứt Nẻ",13351974738,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i13351974738.html,57400,5.0,1,8,No Brand,2026-05-05 14:56:08
"Tinh Chất Kích Thich Mọc Chân Mày Nuôi Dưỡng Đôi Chân Mày, Đôi Mi Cong Dài Tự Nhiên, Chắc Khỏe, Dài, Dày, Cong Vút, Chăm Sóc Dưỡng Ẩm Mi.",2552415373,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i2552415373.html,20240,5.0,22,50,No Brand,2026-05-05 14:56:08
Miếng Dán chân giải  độc Chân Thải Độc Nhật Bản Deep Cleaning Foot Patch,2900998229,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i2900998229.html,57309,5.0,69,182,No Brand,2026-05-05 14:56:08
10/20 Chiếc Thảo Dược Đau Gót Chân Miếng Dán Xương Spurs & Achilles Viêm Gân Điều Trị Chăm Sóc Bàn Chân Thạch Cao Cho Gót Chân Thúc Đẩy Giảm,2724284131,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i2724284131.html,50250,4.8,15,60,No Brand,2026-05-05 14:56:08
"Thảo dược ngâm chân thải độc, Gói thảo dược ngâm chân đông y gia truyền, giúp lưu thông khí huyết, giảm đau nhức, vũ khí tiêu mỡ,giảm béo nhanh chóng,giảm mồ hôi chân, túi ngâm chân",2600090189,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i2600090189.html,55548,4.8,13,81,No Brand,2026-05-05 14:56:08
Combo 5 Hộp 50 miếng dán chân ngải cứu thanh lọc cơ thể/ Mặt Nạ Chân Ngải Cứu Ông Lão Bắc Kinh Giúp Giảm Đau,2929568383,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i2929568383.html,115000,4.8,19,66,No Brand,2026-05-05 14:56:08
Kem nứt gót chân kem bôi nứt gót chân Kem Dưỡng Ẩm Chống Nứt Nẻ Gót Chân 60gChống Nẻ Da,2881385381,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i2881385381.html,55123,5.0,55,76,No Brand,2026-05-05 14:56:08
Hailicare Miếng Dán Giải Độc Chân Tự Nhiên Miếng Dán Chân Than Tre Ngải Cứu Miếng Dán Chân Làm Sạch Sâu Miếng Dán Chân Điều Hòa Chăm Sóc Giảm Mệt Mỏi Mát Xa Giúp Ngủ Ngon,1802587563,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i1802587563.html,54000,5.0,60,175,HailiCare,2026-05-05 14:56:08
"Sáp Paraffin Dưỡng Ẩm Chăm Sóc Tay Chân, Sáp Làm Đẹp Dùng Cho Máy Làm Sáp SPA 200g/450g, Điều Trị Làm Mềm Da Bikini",3116527028,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i3116527028.html,132000,5.0,8,32,No Brand,2026-05-05 14:56:08
"Máy Mài Chân Điện, Hút Bụi, Loại Bỏ Chai Sạn, Sạc USB, Dụng Cụ Làm Sạch Da Cứng Và Chai Sạn Cho Chăm Sóc Bàn Chân",3271969942,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i3271969942.html,423000,5.0,2,13,No Brand,2026-05-05 14:56:08
"(Combo 3 Hủ) Kem Chống Nứt Chân Cho Bàn Chân Và Gót Khô Và Nứt 40g , Dưỡng Ẩm Khô Chân Và Gót, Ngăn Ngừa Chân Của Bạn",3295709808,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i3295709808.html,33000,4.9,18,51,No Brand,2026-05-05 14:56:08
2 Gói Gel Silicone Tất Dành Cho Khô Nứt Nẻ Chân Dưỡng Ẩm Nuôi Dưỡng Chăm Sóc Bàn Chân Massage Bôi Trơn Chăm Sóc Da Chân Miếng Dán,3272243406,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i3272243406.html,62000,5.0,1,14,No Brand,2026-05-05 14:56:08
SDJZT Đá bọt tự nhiên đá chân đá sạch da mài Callus chăm sóc bàn chân công cụ massage sạch chết cứng chăm sóc da chân công cụ làm sạch,3065358281,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Chân,https://www.lazada.vn/products/pdp-i3065358281.html,7520,4.8,10,42,SDJZT,2026-05-05 14:56:08
